tx,latency_cycles,op,spi_mode,stretch,sclk_cycles,bus_gap,payload_bits,cpha,noise,frame_err,word_len,cpol,rx,throughput_bps,protocol
0.8260869565217391,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.8260869565217391,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.5,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,1.0,1.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.30434782608695654,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.30434782608695654,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.08695652173913043,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.08695652173913043,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.717391304347826,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.717391304347826,39988.0,UART
0.7934782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.7934782608695652,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
1.0,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0,39988.0,UART
0.2826086956521739,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.2826086956521739,39988.0,UART
0.5434782608695652,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.5434782608695652,39988.0,UART
0.9347826086956522,451.0,1,1.0,0.0,16.0,25.0,8.0,0.0,0.0,0.0,8.0,0.0,0.9347826086956522,39988.0,UART
